COD_ART,DESCRIPCION,EAN13
20-179,MONOCOMANDO DE COCINA LARA,7798115117241
F1342,"JUEGO DE 2 FLEXIBLES 1/2"" x 40 cm AC.INOX.P/ MONOCOMANDO",7798115117180
RA1538,TRANSFERENCIA COMPLETA DUCHA EXTERIOR A1250,7798115118156
RA1536C,VOLANTE BERNA CROMO,7798115117371
RA1536N,VOLANTE BERNA BLACK,7798115117388
RA1537C,VOLANTE DAVOS CROMO,7798115117418
RA1368,CABEZAL DUCHADOR MONOC COCINA VALENCIIA,7798115116923
A1528,SIFON DESAGOTE BACHA INOX,7798115116428
A1529G,SOPAPA DESAGOTE GOLD BACHA INOX,7798115116435
A1529N,SOPAPA DESAGOTE BLACK BACHA INOX,7798115116442
A1529NI,SOPAPA DESAGOTE NICKEL BACHA INOX,7798115116459
A1530G,BANDEJA DE SECADO GOLD BACHA INOX,7798115116466
A1530N,BANDEJA DE SECADO BLACK BACHA INOX,7798115116473
A1530NI,BANDEJA DE SECADO NICKEL BACHA INOX,7798115116480
A1531G,ESCURRIDOR ENROLLABLE GOLD BACHA INOX,7798115116497
A1531N,ESCURRIDOR ENROLLABLE BLACK BACHA INOX,7798115116503
A1531NI,ESCURRIDOR ENROLLABLE NICKEL BACHA INOX,7798115116411
BCH19,BACHA DE APOYAR BLANCA 365x235x120,7798115116817
BCH20,BACHA BAJO MESADA BLANCA 500x400x185,7798115116824
BCH21,BACHA BAJO MESADA BLANCA 400x300x185,7798115116831
RA1027N,TAPA VALVULA DE DESCARGA P/INODORO BLACK 02-010N,7798115117234
BAI01G,BACHA EMB COCINA C/ACCESORIOS 750x450x220 GOLD BRUSHED,7798115116244
BAI01N,BACHA EMB COCINA C/ACCESORIOS 750x450x220 BLACK GUN BRUSHED,7798115116251
BAI01NI,BACHA EMB COCINA C/ACCESORIOS 750x450x220 NICKEL BRUSHED,7798115116237
60-148, LAVATORIO CR C.CERAM LOFT,7798115116053
62-148,LAVATORIO DE PARED CR C.CERAM LOFT,7798115116091
70-148, BIDE CR C.CERAM LOFT,7798115116060
80-148,DUCHA EMB. C/TRANSF. CR C.CERAM LOFT,7798115116077
80-148P,DUCHA EMB. C/TRANSF. CR C.CERAM LOFT DUCHON CUADRADO,7798115116084
90-148P,PACK GRIF LAV-BI-DU C/TRANSF LOFT PLUS,7798115116107
60-162N,LAVATORIO BLACK C.CERAM LINEA ADRA,7798115116114
62-162N,LAVATORIO DE PARED BLACK C.CERAM ADRA,7798115116145
70-162N,BIDE BLACK C.CERAM LINEA ADRA,7798115116152
80-166N,DUCHA EMB. C/TRANSF. BLACK C.CERAM ADRA PLUS,7798115116169
RS392,O-RING M2695 W=4 Øint 34,7798115116701
RU1076,NIPLE P/PICO LAV EMB FABRIC,7798115118101
INO105,INODORO A LA TURCA BLANCO 615,7798115118590
RA1231,TRANSFERENCIA DUCHA EXTERIOR LUGO,7798115116916
22-178,MONOCOMANDO DE COCINA P/AGUA FILTRADA VITA BRUSHED,7798115117135
22-178N,MONOCOMANDO DE COCINA P/AGUA FILTRADA VITA BLACK,7798115117142
A1513N, MONOCOMANDO DE COCINA VITA BLACK,7798115117128
A1513, MONOCOMANDO DE COCINA VITA BRUSHED,7798115117111
84-203,DUCHA EXT C/COLUMNA Y TRANSF CR ADRA,7798115118200
84-280,DUCHA EXT. C/COLUMNA Y TRANSF CR VERA,7798115118224
20010G,TOALLERO BARRAL GOLD LINEA PULSE,7798115115988
20020G,TOALLERO DE ARO GOLD LINEA PULSE,7798115115995
20030G,PERCHA GOLD LINEA PULSE,7798115116008
20040G,PORTA ROLLO GOLD LINEA PULSE,7798115116015
20050G,JABONERA GOLD LINEA PULSE,7798115116022
20060G,PORTA VASO Y CEPILLO GOLD LINEA PULSE,7798115116039
20-135G,MONOCOMANDO COCINA GOLD SANTANDER,7798115115971
61-176,LAVATORIO MONOC ALTO CR RIO,7798115115957
61-176N,LAVATORIO MONOC ALTO BLACK RIO,7798115115964
60-175G,LAVATORIO GOLD C.CERAM PULSE,7798115118330
62-175G,LAVATORIO DE PARED GOLD C.CERAM PULSE,7798115118347
70-175G, BIDE GOLD C.CERAM PULSE,7798115118354
80-175G,DUCHA EMB C/TRANSF. GOLD C.CERAM PULSE,7798115118361
RA1437,BASE Y JUNTA BIDE MONOC SORIA CR,7798115117616
LG02C20,MONOCOMANDO COCINA CR GINEBRA,7798115114707
LG02C60,LAVATORIO MONOC CR GINEBRA,7798115114738
LG02N20,MONOCOMANDO COCINA BLACK GINEBRA,7798115114714
LG02N60,LAVATORIO MONOC BLACK GINEBRA,7798115114745
LG01C20,MONOCOMANDO COCINA CR LUCERNA,7798115114691
LG01C60,LAVATORIO MONOC CR LUCERNA,7798115114721
BAN101,BAÑERA DE ACERO ESMALTADA BLANCA 1700x700x360x1.5,7798115115896
BAN102,BAÑERA DE ACERO ESMALTADA BLANCA 1600x700x360x1.5,7798115115902
BAN103,BAÑERA DE ACERO ESMALTADA BLANCA 1500x700x360x1.5,7798115115919
BAN104,BAÑERA DE ACERO ESMALTADA BLANCA 1400x700x360x1.5,7798115115926
BAN105,BAÑERA DE ACERO ESMALTADA BLANCA 1200x700x360x1.5,7798115115933
RA1101-1N,FLEXIBLE BLACK MONOC COCINA CUINA M15 x 55cm,7798115117883
RA1388,PASADOR BIDET MONOC BILBAO/LUGO COMPLETO,7798115118620
63-168,LAVATORIO PARED EMB MONOC CR WAVE,7798115115865
63-168N,LAVATORIO PARED EMB MONOC BLACK WAVE,7798115115872
20-201BV,COCINA MONOCOMANDO JOYSTICK BEAT ANTIQUE BRONZE,7798115115834
20-201NI,COCINA MONOCOMANDO JOYSTICK BEAT NICKEL,7798115115834
60-176,LAVATORIO MONOC BAJO CR RIO,7798115115711
60-176N,LAVATORIO MONOC BAJO BLACK RIO,7798115115728
70-176,BIDE MONOC C/TRANSF CR RIO,7798115115735
70-176N,BIDE MONOC C/TRANSF BLACK RIO,7798115115742
80-176,DUCHA EMB C/TRANSF MONOC CR RIO,7798115115759
80-176N,DUCHA EMB C/TRANSF MONOC BLACK RIO,7798115115766
83-176,DUCHA EXT. C/TRANSF. MONOC CR RIO,7798115115773
83-176N,DUCHA EXT. C/TRANSF. MONOC BLACK RIO,7798115115780
60-149,LAVATORIO CR C.CERAM SAND,7798115116268
70-149,BIDE CR C.CERAM SAND,7798115116275
80-149,DUCHA EMB. C/TRANSF. CR C.CERAM SAND,7798115116282
20-140N,MONOCOMANDO DE COCINA LINEA CUINA BLACK,7798115115636
RA1386,PICO MONOC COLORS BLACK,7798115117005
85-168,DUCHA MONOC C/TRANSF Y DUCHADOR CR WAVE,7798115116329
85-168N,DUCHA MONOC C/TRANSF Y DUCHADOR BLACK WAVE,7798115116336
RA1361,PICO LAVATORIO DE PARED MONOC,7798115116978
RA1490N,KIT DUCHADOR FABRIC BLACK (FLEX-SOPORTE-DUCHADOR),7798115118323
RA1091,AIREADOR RECTANGULAR C/SELLO 28x7,7798115117623
60-203N,LAVATORIO MONOCOMANDO BAJO ADRA BLACK,7798115117463
61-203N,LAVATORIO MONOCOMANDO ALTO ADRA BLACK,7798115117470
60-175DG,LAVATORIO PULSE DARK GOLD C.CERAM,7798115116589
60-175GR,LAVATORIO PULSE GRAFITO C.CERAM,7798115116596
62-175DG,LAVATORIO DE PARED PULSE DARK GOLD C.CERAM,7798115116619
62-175GR,LAVATORIO DE PARED PULSE GRAFITO C.CERAM,7798115116626
70-175DG,BIDE PULSE DARK GOLD C.CERAM,7798115116640
70-175GR,BIDE PULSE GRAFITO C.CERAM,7798115116657
80-175DG,DUCHA EMB C/TRANSF. PULSE DARK GOLD C.CERAM,7798115116671
80-175GR,DUCHA EMB C/TRANSF. PULSE GRAFITO C.CERAM,7798115116688
20-162N,MONOCOMANDO COCINA BLACK ADRA,7798115115407
BCH18,BACHA DE APOYAR SIMIL MARMOL 460x320x140,7798115115285
20010C,TOALLERO BARRAL CR LINEA PULSE,7798115115445
20010DG,TOALLERO BARRAL DARK GOLD LINEA PULSE,7798115115506
20010GR,TOALLERO BARRAL GRAFITO LINEA PULSE  ,7798115115568
20020C,TOALLERO DE ARO CR LINEA PULSE,7798115115452
20020DG,TOALLERO DE ARO DARK GOLD LINEA PULSE,7798115115513
20020GR,TOALLERO DE ARO GRAFITO LINEA PULSE,7798115115575
20030C,PERCHA CR LINEA PULSE,7798115115469
20030DG,PERCHA DARK GOLD LINEA PULSE,7798115115520
20030GR,PERCHA GRAFITO LINEA PULSE  ,7798115115582
20040C,PORTA ROLLO CR LINEA PULSE,7798115115476
20040DG,PORTA ROLLO DARK GOLD LINEA PULSE,7798115115537
20040GR,PORTA ROLLO GRAFITO LINEA PULSE,7798115115599
20050C,JABONERA CR LINEA PULSE,7798115115483
20050DG,JABONERA DARK GOLD LINEA PULSE,7798115115544
20050GR,JABONERA GRAFITO LINEA PULSE   ,7798115115612
20060C,PORTA VASO Y CEPILLO CR LINEA PULSE,7798115115490
20060DG,PORTA VASO Y CEPILLO DARK GOLD LINEA PULSE,7798115115551
20060GR,PORTA VASO Y CEPILLO GRAFITO LINEA PULSE,7798115115629
70-203N,BIDE MONOCOMANDO ADRA BLACK,7798115115414
80-203N,DUCHA EMB C/TRANSF. MONOCOMANDO ADRA BLACK PLUS,7798115115421
83-203N,DUCHA EXT C/TRANSF. MONOCOMANDO ADRA BLACK,7798115115438
60-175,LAVATORIO CR. C.CERAM PULSE,7798115116572
62-175,LAVATORIO DE PARED CR C.CERAM PULSE,7798115116602
70-175,BIDE CR. C.CERAM PULSE,7798115116633
80-175,DUCHA EMB C/TRANSF. CR C.CERAM PULSE,7798115116664
60-168,LAVATORIO MONOC BAJO CR WAVE,7798115115322
60-168N,LAVATORIO MONOC BAJO BLACK WAVE,7798115115339
70-168,BIDE MONOC CR WAVE,7798115115360
70-168N,BIDE MONOC BLACK WAVE,7798115115377
80-168,DUCHA EMB C/TRANSF MONOC CR WAVE,7798115115384
80-168N,DUCHA EMB C/TRANSF MONOC BLACK WAVE,7798115115391
LG03N60,LAVATORIO BLACK C.STD BERNA,7798115115292
LG03N70,BIDE BLACK C.STD BERNA,7798115115308
LG03N80,DUCHA C/TRANSF BLACK C.STD BERNA,7798115115315
A1477,KIT DUCHADOR BLACK VELVET,7798115116541
LG03C60,LAVATORIO CR C.STD  BERNA,7798115115254
LG03C70,BIDE CR C.STD BERNA,7798115115261
LG03C80,DUCHA EMB. C/TRANSF. CR C.STD BERNA,7798115115278
LG04C60,LAVATORIO CR C.CERAM DAVOS,7798115115223
LG04C70,BIDE CR C.CERAM DAVOS,7798115115230
LG04C80,DUCHA EMB. C/TRANSF. CR C.CERAM DAVOS,7798115115247
20-147,MONOCOMANDO DE COCINA SWIFT,7798115115155
21100,ESTANTE ORGANIZADOR RECTANGULAR 25x12x7,7798115115179
21100N,ESTANTE ORGANIZADOR RECTANGULAR BLACK 25x12x7,7798115115186
21200,ESQUINERO ORGANIZADOR 19x19x7,7798115115193
21200N,ESQUINERO ORGANIZADOR BLACK 19x19x7,7798115115209
BID101-1,BIDE 1 AGUJERO BLANCO LINEA ACQUA,7798115115049
BID101-3,BIDE 3 AGUJEROS BLANCO LINEA ACQUA,7798115115056
INO101-1,INODORO BLANCO C/ASIENTO LINEA ACQUA,7798115114967
INO101-2,DEPOSITO C/DESCARGA DUAL BLANCO LINEA ACQUA,7798115114974
RINO101-3,ASIENTO INODORO LINEA ACQUA,7798115114905
BID102-1,BIDE 1 AGUJERO BLANCO LINEA LOFT,7798115115063
BID102-3,BIDE 3 AGUJEROS BLANCO LINEA LOFT,7798115115070
INO102-1,INODORO BLANCO C/ASIENTO LINEA LOFT,7798115114912
INO102-2,DEPOSITO C/DESCARGA DUAL BLANCO LINEA LOFT,7798115114929
RINO102-3,ASIENTO INODORO LINEA LOFT,7798115114936
BID104-1,BIDE 1 AGUJERO BLANCO LINEA STONE,7798115115100
BID104-3,BIDE 3 AGUJEROS BLANCO LINEA STONE,7798115115117
BID104N-1,BIDE 1 AGUJERO BLACK LINEA STONE,7798115115124
BID104N-3,BIDE 3 AGUJEROS BLACK LINEA STONE,7798115115131
INO104-1,INODORO BLANCO C/ASIENTO LINEA STONE,7798115114998
INO104-2,DEPOSITO C/DESCARGA DUAL BLANCO LINEA STONE,7798115115001
INO104N-1,INODORO BLACK C/ASIENTO LINEA STONE,7798115115018
INO104N-2,DEPOSITO C/DESCARGA DUAL BLACK LINEA STONE,7798115115025
RINO104-3,ASIENTO INODORO LINEA STONE,7798115115148
RINO104N-3,ASIENTO INODORO BLACK LINEA STONE,7798115115032
BID103-1,BIDE 1 AGUJERO BLANCO LINEA URBAN,7798115115087
BID103-3,BIDE 3 AGUJEROS BLANCO LINEA URBAN,7798115115094
INO103-1,INODORO BLANCO C/ASIENTO LINEA URBAN,7798115114943
INO103-2,DEPOSITO C/DESCARGA DUAL BLANCO LINEA URBAN,7798115114981
RINO103-3,ASIENTO INODORO LINEA URBAN,7798115114950
RA1405,MANDO DUCHA DE EMB LIVE,7798115116886
BCH16,BACHA DE APOYAR BLANCA 610x457x254 C/DESAGOTE Y REJILLA,7798115114837
BCH16N,BACHA DE APOYAR NEGRA 610x457x254 C/DESAGOTE Y REJILLA,7798115114899
BCH17,BACHA DE APOYAR BLANCA 838x457x254 C/DESAGOTE Y REJILLA,7798115114844
54-203,COCINA PARED EXT C.CERAM ADRA MONOCOMANDO,7798115114820
RA1472,AIREADOR  LAV MONOC ALTO Y BAJO FABRIC M24x1,7798115118125
16060,PORTA VASO Y CEPILLO LINEA SORIA,7798115115216
BCH12,BACHA DE APOYAR BLANCA 460x320x140,7798115114851
BCH13,BACHA DE APOYAR BLANCA RECTANGULAR 465x260x125,7798115114868
BCH14,BACHA SEMI EMBUTIDA BLANCA 430x380x155,7798115114875
BCH15,BACHA SEMI EMBUTIDA  BLANCA 530x370x155,7798115114882
RA1468C,VOLANTE COMPLETO MOVE CROMO,7798115118286
RA1468N,VOLANTE COMPLETO MOVE BLACK,7798115118293
RA1469C,AIREADOR 2 FUNCIONES M22x1 CROMO,7798115118279
RA1469N,AIREADOR 2 FUNCIONES M22x1 BLACK,7798115117821
51-061B,COCINA MESADA BL/CR C.STD PUEBLA,7798115114783
51-061N,COCINA MESADA NG/CR C.STD PUEBLA,7798115114790
20-146N,MONOCOMANDO DE COCINA BLACK LINEA MOVE,7798115114813
80-151P,DUCHA EMB. C/TRANSF. CR C.CERAM CROWN PLUS,7798160585866
20-146,MONOCOMANDO DE COCINA CR LINEA MOVE,7798115114806
19006,SET DE 6 PIEZAS LINEA 19000,7798160585859
19010,TOALLERO BARRAL LINEA 19000,7798160585798
19020,TOALLERO DE ARO LINEA 19000,7798160585804
19030,PERCHA LINEA 19000,7798160585811
19040,PORTA ROLLO LINEA 19000,7798160585828
19050,JABONERA LINEA 19000,7798160585835
19060,VASO PORTA CEPILLO LINEA 19000,7798160585842
RA1400,SOPORTE P/DUCHADOR C/BASE CUADRADA CR,7798115116299
RA1101-1,FLEXIBLE DE ROCIADOR CR MONOC COCINA CUINA,7798115117081
RA741NI,DESAGOTE MATALICO LAVATORIO Y BIDE NICKEL,7798115118019
RU1072NI,DUCHA DE BIDE NICKEL,7798115118026
LG02C61,LAVATORIO MONOC ALTO CROMO GINEBRA,7798115114752
LG02N61,LAVATORIO MONOC ALTO BLACK GINEBRA,7798115114769
RS704N,MANIJA MONOC MARBELLA BLACK,7798115118163
61-168,LAVATORIO MONOC ALTO CR WAVE,7798115115346
61-168N,LAVATORIO MONOC ALTO BLACK WAVE,7798115115353
20-168,MONOCOMANDO COCINA CR WAVE,7798115115858
20-168N,MONOCOMANDO COCINA BLACK WAVE,7798115115841
90-045,PACK GRIF LAV-BID-DUCHA C/TRANSF CRUZ,7798115114622
A1447C,"FLOR DE DUCHA 4"" ABS CROMO C/BLISTER",7798160585682
A1448C,"CAÑO CURVO METALICO C/FLOR DE DUCHA 4"" ABS CR C/BLISTER",7798160585699
A1449C,DUCHADOR MULTIFUNCION CROMO C/BLISTER,7798160585705
A1450C,DUCHADOR CILINDRICO MINIMALISTA ABS CROMO C/BLISTER,7798160585712
A1451C,CAÑO DE DUCHA CURVO CROMO METAL C/BLISTER,7798160585729
A1452C,CAÑO DE DUCHA RECTO 150 MM CHROME C/BLISTER,7798160585736
A1452N,CAÑO DE DUCHA RECTO 150 MM BLACK C/BLISTER,7798160585743
80-203P,DUCHA EMB C/TRANSF. MONOCOMANDO ADRA PLUS,7798115114493
60-045,LAVATORIO CR/CR C.STD CRUZ,7798115114462
70-045,BIDE CROMO C.STD CRUZ,7798115114479
80-045,DUCHA EMB.C/TRANSF CR  C.STD CRUZ,7798115114486
RA1360,CUADRO LAVATORIO EMB C CERAMICO AZUL,7798115118651
80-390,DUCHA DE EMB 3 FUNCIONES BLACK VELVET,7798160585767
85-190,DUCHA EMB C/TRANSF Y DUCHADOR CR C.CERAM BLACK VELVET,7798160585750
80-329,DUCHA DE EMB 3 FUNCIONES CASTILLA,7798160585781
85-153,DUCHA EMB C/TRANSF Y DUCHADOR CR C.CERAM CASTILLA,7798160585774
U070,INSERTO ROSCADO P/PICO CAÑO CONFORMADO IMP,7798115114370
RA1332,CUERPO DE BR DUCHA EMB C/TRANSF C.CERAM AZUL DER,7798115118644
RA1425,SUBC PICO BAÑERA PLASTICO,7798115117814
RA1436,AIREADOR PICO LAV/BAÑERA M18.5 x 1 mm,7798115115889
70-205,BIDE MONOCOMANDO STEEL,7798115113762
83-205,DUCHA EXT C/TRANSF MONOC STEEL PICO CURVO,7798115113786
60-205,LAVATORIO MONOC BAJO STEEL,7798115113793
61-205,LAVATORIO MONOC ALTO STEEL,7798115113809
80-205,DUCHA EMB. C/TRANSF. MONOC STEEL,7798115113779
20-205,MONOCOMANDO DE COCINA STEEL,7798115113755
RA1299,BOLSA CONEXION BIDE FABRIC / PRADO,7798115118033
81-100N,DUCHA EMB. S/TRANSF. BLACK C.CERAM FABRIC,7798160585675
RA5029T,VOLANTE TRANSFERENCIA CROMO Y,7798115115797
RA1427,SISTEMA DESARTICULADO PARA REUBICACION DE VOLANTES,7798115116565
U1166,PICO BAÑERA SEVILLA PLUS PLASTICO,7798115114202
U025B,VOLANTE ARES BLANCO,7798115114417
RA019,SOPORTE FLEXIBLE DUCHADOR CR C/BLISTER,7798077380424
RA1194,LLAVE PARA AIREADOR VERA COLORS,7798115118118
RA1195,LLAVE PARA AIREADOR BETIS,7798115116374
RA1418,TRANSFERENCIA BIDE,7798115116848
RA019G,SOPORTE DUCHADOR CROMO,7798160583602
RA039,CONJUNTO SUJECION MONOCOMANDO VERIN,7798077384088
RA1074,CONTRAPESO MONOC COCINA VIGO / FABRIC,7798115116695
RA1099,PICO MONOCOMANDO COCINA EXT BILBAO,7798115117050
RA1101N,FLEXIBLE BLACK MONOC CUINA M16 x 60cm,7798115117692
RA1105,VOLANTE MONOCOMANDO TOLEDO,7798115117265
RA1108,SUJECCION MONOC COCINA TOLEDO,7798115117593
RA1114,VOLANTE MONOCOMANDO VERA,7798115118187
RA1143,AIREADOR MONOC VIGO + LLAVE REPUESTO M21.5 x 1,7798115115162
RA1146,AIREADOR MONOCOMANDO VIGO M21.5 x 1,7798115118040
RA1154,ARO + O'RING BASE MONOC COCINA BETIS,7798115116367
RA1155,KIT DE JUNTAS PARA MONCOMANDO RENACER,7798160584807
RA1171,SUJECION MONOCOMANDO MALLORCA,7798115116800
RA1193,AIREADOR MONOC VERA COLORS M24x1,7798115118132
RA1198,FLEXIBLE EXTENSIBLE PARA MONOC VIGO,7798115117012
RA1204C,PICO DUCHA FABRIC CROMO,7798115116909
RA1204N,PICO DUCHA FABRIC BLACK,7798115116725
RA1206,PICO LAV EMBUTIR CUADRADO CASTILLA/LAGO/SENA,7798115117609
RA1208,"FLOR DE DUCHA 8"" CUADRADA DE ACERO INOX",7798115113588
RA1381,CHAPA VISTA EMB C/TRANSF. MONOC SORIA BLACK,7798115116770
RU1044,INSERTO HEXAGONAL LATON LINEA PRADO,7798115117425
RU589,CODO P/COCINA DE EMBUTIR,7798077386532
RU948-1,"CAÑO BAJADA DUCHA PLASTICO ER1/2"" SR1/2""-3/4""",7798115117845
A1425,SUBC PICO BAÑERA PLASTICO,7798115113649
RA835,PICO FUNDIDO MESADA STD C/AIREADOR CR,7798115116992
RU988,JABONERA DE VIDRIO CUADRADA LINEA 13000,7798077384101
RA1052-1M,VOLANTE MONOC DE EMBUTIR SORIA BLACK,7798115118002
RA023G,SOPAPA LAVATORIO / BIDE FABRIC GOLD,7798115115704
RA023N,SOPAPA LAVATORIO / BIDE FABRIC BLACK,7798115115827
RA1003,PICO LAVATORIO BETIS / SEVILLA,7798115116732
RA1023,VALVULA DE DESAGOTE P/INODORO TECNO 02-010-1,7798115117456
RA1025,VALVULA COMPLETA DE TEMPORIZADOR 03-010,7798077382824
RA1026,CONJUNTO O'RING VALVULA TEMPORIZADA 03-010,7798077382855
RA1027,TAPA TECLA Y FIJACION VALVULA DE DESCARGA P/INODORO 02-010,7798160585170
RA1028,TORNILLOS SUJECION TAPA DE DESCARGA 02-010,7798115116510
RA1062,AIREADOR PICO LAV/BAÑERA TERUEL M18.5 x 1mm,7798115116718
RA1066,BRAZO Y FLOR DE DUCHA CASTILLA/SENA,7798115116985
RA1067,PICO LAVATORIO CASTILLA/LAGO,7798115118170
RA1075,DUCHADOR P/DUCHA EXTERIOR SORIA,7798115116879
RA1083,PICO DUCHA TOLEDO / SANTANDER,7798115117708
RA1087,TRANSFERENCIA COMPLETA DUCHA EXT SORIA,7798115116930
RA1089,AIREADOR P/LAVATORIO (ALTO/BAJO) SORIA,7798115117937
RA1095,PICO LAVATORIO EMBUTIR C/CAMPANA REDONDA,7798115116398
RA1103,CAMPANA TERUEL,7798115117029
RA1106,MANIJA MONOCOMANDO DIQUE / BETIS,7798115116862
RA1120,CAÑO GRIFO NEGRO MONOC COLORS,7798115113113
RA1121,CAÑO GRIFO ROJO MONOC COLORS,7798115113137
RA1122,CAÑO GRIFO AZUL MONOC COLORS,7798115113144
RA1123,CAÑO GRIFO GRIS MONOC COLORS,7798115113151
RA1129,AIREADOR MONOCOMANDO VERA,7798115117210
RA1137,SUJECCION MONOC LAV VERA ALTO,7798115118613
RA1147,PICO LAVATORIO SENA / PRADO,7798115117869
RA1159,BRAZO Y FLOR DE DUCHA TOLEDO,7798115117838
